Part,Color,Quantity
87994,0,2
63965,0,4
99781,0,3
99207,0,4
2456,0,1
4070,0,2
87087,0,4
11211,0,1
60849,0,1
64644,0,1
6134,0,1
41532,0,2
24122,0,2
3023,0,9
3710,0,3
3832,0,2
3022,0,8
3021,0,5
32828,0,4
35480,0,4
60470b,0,1
99206,0,7
61409,0,2
85984,0,1
11477,0,1
3747b,0,3
4599b,0,3
3705,0,1
3700,0,1
6575,0,1
2780,0,1
63864,0,1
2431,0,1
98138,0,2
15712,0,8
99563,0,2
4006,0,1
58247,0,2
92738,0,6
64567,0,3
43713,0,1
2436,1,8
44728,1,1
4598,1,1
3001,1,1
4740,1,6
44676,1,2
3023,1,3
3021,1,2
92946,1,2
43093,1,2
6558,1,1
63864,1,2
2450,1,2
48933,1,2
47755,1,1
6141,29,2
3004,272,1
6091,272,4
30165,272,9
3024,272,6
3023,272,7
3623,272,2
3710,272,5
4282,272,1
3022,272,4
2420,272,2
3021,272,8
3036,272,1
15573,272,8
11458,272,2
85984,272,5
6636,272,6
4162,272,4
87079,272,1
2412b,272,3
30044,272,1
63965,72,2
99780,72,7
44728,72,6
3245c,72,1
30165,72,1
3062b,72,1
3941,72,1
87087,72,2
47905,72,1
2458,72,1
30414,72,2
90258,72,1
18975,72,1
95344,72,1
61780,72,2
43898,72,2
30304,72,1
30031,72,1
63586,72,3
61190c,72,4
3937,72,3
73983,72,1
15400,72,2
15392,72,2
3023,72,4
3623,72,3
3666,72,2
4282,72,3
3022,72,6
2420,72,1
3021,72,1
3020,72,1
3795,72,5
3034,72,1
6141,72,2
4032a,72,4
2654,72,6
60474,72,1
4081b,72,4
60897,72,4
2540,72,6
3794b,72,7
63868,72,1
32028,72,2
60478,72,1
3839b,72,1
87580,72,2
11399,72,2
6180,72,1
18674,72,2
61409,72,8
54200,72,6
85984,72,3
85984pr0006,72,1
92946,72,4
30602,72,2
50950,72,4
3660,72,1
98834,72,2
55013,72,1
32013,72,1
32064a,72,2
3069bpr0090,72,1
2431,72,4
15535pr0001,72,2
2432,72,4
11203,72,1
30194,72,1
2431,484,2
3004,320,1
3003,320,2
6005,320,4
6091,320,7
6081,320,3
15403,320,2
3024,320,2
3623,320,5
3710,320,4
3022,320,3
3795,320,2
85984,320,4
50950,320,2
45677,320,2
3070b,320,1
2412b,320,3
40379,28,2
40378,28,2
3003,28,2
4865b,28,2
3020,28,3
89523,28,1
3794a,28,8
6583,28,2
3040b,28,2
3678b,28,1
3069b,28,6
6636,28,4
3068b,28,1
4150,28,2
47753,28,1
92579,28,2
6141,179,20
2412b,179,25
3957b,71,1
30374,71,2
63965,71,1
2714b,71,1
99781,71,1
99780,71,8
2436,71,2
44728,71,6
3956,71,2
76766,71,1
3062b,71,2
98100,71,2
3941,71,1
48092,71,4
11211,71,5
59900,71,1
30365,71,2
3938,71,1
30387,71,4
44567a,71,2
60471,71,2
298c02,71,4
6231,71,2
4865b,71,2
23969,71,2
3710,71,8
3022,71,1
2420,71,2
3021,71,6
3020,71,4
3795,71,2
3028,71,1
6141,71,10
4081b,71,2
60897,71,1
48336,71,5
92280,71,8
63868,71,6
4600,71,2
3176,71,5
6553,71,2
32013,71,1
32014,71,2
41677,71,1
6541,71,1
3700,71,4
32123b,71,2
32187,71,2
61184,71,1
32001,71,3
3069b,71,10
15712,71,3
12825,71,1
2412b,71,5
64567,71,1
42610,71,1
13971,71,2
34337,71,4
3023,27,3
6141,27,13
64567,80,2
12966,9999,1
21525,9999,1
2431,25,2
92585,297,1
53454,1103,1
4497,1103,1
47457,4,2
32062,4,3
87615,70,1
61976,70,1
3941,70,2
59900,70,1
15207,70,3
3023,70,4
3832,70,2
3022,70,3
3020,70,3
3032,70,1
6141,70,6
30357,70,4
11477,70,2
3700,70,2
3070b,70,2
4162,70,1
3068b,70,3
47456,70,1
41750,70,1
41749,70,1
99207,19,4
3010,19,4
26604,19,2
30414,19,3
21829pr0001,19,1
3023,19,5
3666,19,6
3020,19,3
15573,19,3
11476,19,1
4079b,19,2
85984,19,2
3039,19,2
3069b,19,2
2412b,19,2
2462,19,4
30374,35,2
4740,35,2
3941,47,6
3023,47,2
6141,47,2
2654,47,3
54200,47,2
35336,47,1
3023,33,1
98138,33,2
3062b,41,1
3023,182,3
6141,36,10
15303,36,3
53451,15,8
36032pr0001,15,1
99206,15,5
87609,15,2
11477,15,1
3069b,15,1
63864,15,2
2431,15,1
2412b,15,5
