Part,Color,Quantity
10201,0,4
10247,15,2
10247,71,7
10247,72,10
10928,72,2
11090,72,2
11153,2,8
11203,72,5
11211,0,1
11211,71,7
11212,71,2
11214,72,10
11215,0,1
11215,71,4
11253,0,5
11291,71,1
11439pat0004,34,1
11458,0,1
11458,4,1
11458,72,12
11476,71,4
11477,0,4
11477,2,12
11477,15,4
11477,25,1
11477,71,12
11477,72,6
11610,0,1
12606,9999,1
12825,71,1
12825,72,3
13547,0,2
13731,2,4
14417,72,2
14719,71,2
14769,0,3
14769,72,3
15068,15,6
15068,19,2
15068,71,7
15068,72,4
15071,0,1
15100,0,2
15207,72,2
15210,72,3
15303,35,3
15303,36,11
15303,182,4
15392,72,1
15400,72,12
15403,0,1
15462,28,4
15535,72,6
15571,0,1
15571,4,1
15573,0,10
15573,15,4
15573,28,2
15573,71,8
15573,72,12
15672,15,4
15712,0,3
15712,71,5
15712,72,12
15712,320,1
18481,9999,1
18587,71,2
18588,0,2
18649,0,8
18649,71,4
18671,71,2
18671,72,5
18674,15,2
18674,72,2
18675pr0004,36,1
18675pr0005,36,1
18675pr0006,0,1
18677,71,5
18980,71,6
21518,9999,1
21527,9999,1
21529,9999,1
21699,36,1
22885,71,2
23443,71,1
2357,0,6
24122,0,1
2412b,0,22
2412b,14,3
2412b,15,9
2412b,70,3
2412b,71,12
2412b,72,34
2412b,179,13
2412b,297,3
2412b,320,5
2419,0,4
2419,71,1
2419,72,5
2420,0,17
2420,15,4
2420,28,2
2420,70,4
2420,71,12
2420,72,10
24201,71,12
24299,72,3
24307,72,3
2431,0,3
2431,2,2
2431,15,18
2431,19,2
2431,71,5
2431,72,7
2432,0,2
2432,72,3
2436,0,1
2444,4,2
2445,0,1
2445,71,1
2445,72,2
2450,0,1
2450,4,1
2450,71,6
2450,72,2
2450,320,2
2453a,72,2
2456,4,2
2456,71,14
2458,15,2
2458,71,5
2458,72,8
2460,0,2
2460,71,4
2460,72,2
2476a,28,4
2476a,71,6
2540,14,1
2540,71,4
2570,1103,1
2639,72,2
2653,0,3
2653,71,3
2654,0,16
2654,4,1
2654,47,7
2654,71,26
2654,72,3
2723,0,6
2730,0,2
2730,71,4
2780,0,135
2817,0,1
2817,4,2
2817,71,4
28341,9999,1
2877,0,7
2877,71,4
2877,72,21
2921,0,2
2921,71,2
298c02,71,7
30000,71,4
3001,0,1
3001,4,3
3001,19,11
3001,70,3
3001,72,2
3002,19,1
3002,71,12
3002,72,2
3003,4,2
3003,15,2
3003,19,2
30031,0,2
30031,72,1
3004,0,7
3004,2,9
3004,4,5
3004,15,2
3004,71,20
3004,72,4
3004,320,5
3005,40,2
3008,72,1
3009,0,2
3009,2,1
3009,71,36
3009,72,4
3010,71,22
3010,72,1
3010,378,2
30136,72,1
30162,72,1
30165,0,4
30173b,0,4
30176,2,2
3020,0,3
3020,2,4
3020,4,4
3020,15,3
3020,19,3
3020,28,2
3020,71,13
3020,72,41
3020,320,1
3021,0,2
3021,1,4
3021,2,15
3021,4,14
3021,15,1
3021,19,3
3021,25,5
3021,28,1
3021,71,54
3021,72,80
3022,0,17
3022,1,4
3022,15,3
3022,19,19
3022,70,2
3022,71,4
3022,72,28
3022,379,2
3023,0,72
3023,2,8
3023,4,11
3023,14,4
3023,15,4
3023,19,13
3023,25,7
3023,28,25
3023,33,4
3023,36,31
3023,70,10
3023,71,40
